objID,RA,DEC,PGC,HUBBLE,TYPE
1237646379924586734,77.544041,-0.719174,PGC 16852,.E...*.,-5.0
1237646380446908487,44.3494583,-0.3093889,PGC 11170,.L..-*.,-3.0
1237646380446908598,44.2989583,-0.2230556,PGC 11154,.SX.8*.,8.0
1237646380448481401,47.947792,-0.402972,PGC 11912,.SBR3*.,3.3
1237646380448612405,48.1905,-0.333083,PGC 11966,.SB.0*.,0.0
1237646380448743429,48.438375,-0.2414444,PGC 12017,RSBR1P?,1.0
1237646380449529869,50.245417,-0.367611,PGC 12560,.SAS5*.,5.3
1237646380450054237,51.560417,-0.203014,PGC 12835,,-99.0
1237646380457001140,67.33818,-0.20685,PGC 22291,,-99.0
1237646380457132110,67.659292,-0.304167,PGC 15331,.SBS4..,4.0
1237646380457918785,69.40725,-0.293194,PGC 15673,.S..8*.,8.0
1237646380460278012,74.894292,-0.260417,PGC 16501,.S..1*/,1.0
1237646380460802252,76.079126,-0.412321,PGC 16666,.S..2..,2.0
1237646380461392042,77.416667,-0.2525,PGC 16837,.S?....,-99.0
1237646380984172636,45.167525,0.020461,PGC 11375,.S..8*/,8.0
1237646380986597409,50.6967917,0.1493611,PGC 12655,.SX.6..,6.0
1237646380986728584,51.0941667,0.1135278,PGC 12733,.S..8*.,8.0
1237646380994920480,69.684708,0.1905,PGC 15714,,-99.0
1237646380995772843,71.760667,0.066556,PGC 15998,.SXS9..,9.0
1237646381001343368,84.47625,0.123278,PGC 17535,.S..3..,3.0
1237646381523140614,49.9459167,0.5845833,PGC 12425,.S?....,-99.0
1237646381523140617,49.9293333,0.5654722,PGC 12418,.S?....,-99.0
1237646381525762193,55.968625,0.6143611,PGC 13702,.S..6*.,6.0
1237646381529235688,63.865333,0.488194,PGC 14751,.S..6*.,6.0
1237646381531005076,68.025481,0.56736,PGC 15447,.L..0*.,-2.0
1237646381531136492,68.229875,0.53675,PGC 15491,.S..9*.,9.0
